ETC_name,WSP_name
ALT_COMMUTE_MODES_16,alt_commute_mode_mts_route_992
ALT_COMMUTE_MODES_17,alt_commute_mode_airport_flyer_shuttle
ALT_COMMUTE_MODES_18,alt_commute_mode_other_public_transit
ALT_COMMUTE_MODES_19,alt_commute_mode_other_shared_van
ALT_COMMUTE_MODES_1,alt_commute_mode_walk
ALT_COMMUTE_MODES_2,alt_commute_mode_wheelchair
ALT_COMMUTE_MODES_3,alt_commute_mode_bicycle_electric_bikeshare
ALT_COMMUTE_MODES_4,alt_commute_mode_bicycle_non_electric_bikeshare
ALT_COMMUTE_MODES_6,alt_commute_mode_bicycle_personal_electric_bicycle
ALT_COMMUTE_MODES_7,alt_commute_mode_bicycle_personal_non_electric_bicycle
ALT_COMMUTE_MODES_5,alt_commute_mode_e_scooter_shared
ALT_COMMUTE_MODES_8,alt_commute_mode_e_scooter_personal
COMMUTE_MODE_DECIDE_Code_,commute_mode_decision
COMMUTE_MODE_DECIDE,commute_mode_decision_label
COMMUTE_MODE_DECIDE_Other_,commute_mode_decision_other
EMPLOYEE_PARKING_Code_,delete
EMPLOYEE_PARKING,employee_parking
YOUR_AGE_Code_,age
YOUR_AGE,age_label
YOUR_GENDER_Code_,gender
YOUR_GENDER,gender_label
YOUR_GENDER_Other_,gender_other
RACE_1,race_aian
RACE_3,race_asian
RACE_5,race_black
RACE_6,race_hispanic
RACE_7,race_middle_eastern
RACE_2,race_hp
RACE_4,race_white
RACE_8,race_unknown
RACE_Other_,race_other
HH_SIZE_Code_,number_persons_in_household
HH_SIZE,number_persons_in_household_label
COUNT_VH_HH_Code_,number_vehicles
COUNT_VH_HH,number_vehicles_label
INCOME_Code_,household_income
INCOME,household_income_label
INCOME_BELOW_POV_Code_,is_income_below_poverty
INCOME_BELOW_POV,is_income_below_poverty_label
EMPLOYED_IN_HH_Code_,number_workers
EMPLOYED_IN_HH,number_workers_label
SP_INVITATION_QR_Code_,sp_invitation
SP_INVITATION_QR,sp_invitation_label
STAY_INFORMED_Code_,stay_informed
STAY_INFORMED,stay_informed_label
SURVEY_LANGUAGE_Code_,survey_language
SURVEY_LANGUAGE,survey_language_label
SURVEY_LANGUAGE_Other_,survey_language_other
REFUS_AGE_OBSERVED_Code_,delete
REFUS_AGE_OBSERVED,delete
REFUS_GENDER_OBSRVED_Code_,delete
REFUS_GENDER_OBSRVED,delete
REFUS_RACETHN_OBSERV_1_,delete
REFUS_RACETHN_OBSERV_2_,delete
REFUS_RACETHN_OBSERV_3_,delete
REFUS_RACETHN_OBSERV_4_,delete
REFUS_RACETHN_OBSERV_5_,delete
REFUS_RACETHN_OBSERV_6_,delete
REFUS_RACETHN_OBSERV_7_,delete
REFUS_RACETHN_OBSERV_8_,delete
REFUS_RACETHN_OBSERV_Other_,delete
Date started,delete
HAVE_5_MIN_FOR_SURVE_Code_,delete
HAVE_5_MIN_FOR_SURVE,delete
METHOD,delete
WEB BROWSER,delete
REFERRING URL,delete
DURATION,delete
LOCATION_LAT,delete
LOCATION_LONG,delete
D_OTHER_SHARED_VAN,delete
SDIA_ACCESS_SPLIT_Other_,sdia_accessmode_split_other
REASONS_NO_TRANSIT_Other_,reasons_no_transit_other
GEN_MODES_VISITOR_Other_,general_modes_used_visitor_other
ALT_COMMUTE_MODES_Other_,alt_commute_mode_other
TERMINAL_Code_,interview_location
TERMINAL,interview_location_label
ORIGIN_ADDRESS [CITY],origin_city
ORIGIN_ADDRESS [STATE],origin_state
ORIGIN_ADDRESS [ZIP],origin_zip
ORIGIN_ADDRESS [LAT],origin_latitude
ORIGIN_ADDRESS [LONG],origin_longitude
DESTIN_ADDRESS [CITY],destination_city
DESTIN_ADDRESS [STATE],destination_state
DESTIN_ADDRESS [ZIP],destination_zip
DESTIN_ADDRESS [LAT],destination_latitude
DESTIN_ADDRESS [LONG],destination_longitude
DESCRIBE_JOB_SPECIFY_Code,occupation_detail
DESCRIBE_JOB_SPECIFY,occupation_detail_label
not_a_question_2,delete
id,respondentid
Date started,date_completed
